CODICE;Geo Point;Geo Shape
187;44.49933642740414, 11.332728178800071;"{""coordinates"": [11.332728178800071, 44.49933642740414], ""type"": ""Point""}"
10181;44.50173841933594, 11.332409828396363;"{""coordinates"": [11.332409828396363, 44.50173841933594], ""type"": ""Point""}"
16701;44.501930296924904, 11.332216115058356;"{""coordinates"": [11.332216115058356, 44.501930296924904], ""type"": ""Point""}"
15635;44.49841972083305, 11.329547930398872;"{""coordinates"": [11.329547930398872, 44.49841972083305], ""type"": ""Point""}"
10177;44.500653729247894, 11.330422110345078;"{""coordinates"": [11.330422110345078, 44.500653729247894], ""type"": ""Point""}"
192;44.49865836464256, 11.335540143655608;"{""coordinates"": [11.335540143655608, 44.49865836464256], ""type"": ""Point""}"
190;44.49952710407764, 11.334969833731504;"{""coordinates"": [11.334969833731504, 44.49952710407764], ""type"": ""Point""}"
8547;44.51741802920799, 11.272817676313158;"{""coordinates"": [11.272817676313158, 44.51741802920799], ""type"": ""Point""}"
8557;44.520656986487424, 11.271872083199547;"{""coordinates"": [11.271872083199547, 44.520656986487424], ""type"": ""Point""}"
8568;44.52166474960358, 11.27513354999235;"{""coordinates"": [11.27513354999235, 44.52166474960358], ""type"": ""Point""}"
8545;44.520384605460904, 11.275685847875868;"{""coordinates"": [11.275685847875868, 44.520384605460904], ""type"": ""Point""}"
14380;44.5214941875432, 11.273493241292972;"{""coordinates"": [11.273493241292972, 44.5214941875432], ""type"": ""Point""}"
8564;44.52202308178295, 11.274110481550204;"{""coordinates"": [11.274110481550204, 44.52202308178295], ""type"": ""Point""}"
8561;44.52124611755248, 11.274211637244303;"{""coordinates"": [11.274211637244303, 44.52124611755248], ""type"": ""Point""}"
8563;44.52147874737088, 11.275669684403216;"{""coordinates"": [11.275669684403216, 44.52147874737088], ""type"": ""Point""}"
14569;44.498941578607955, 11.35761820065623;"{""coordinates"": [11.35761820065623, 44.498941578607955], ""type"": ""Point""}"
6904;44.480871252890715, 11.379966810119141;"{""coordinates"": [11.379966810119141, 44.480871252890715], ""type"": ""Point""}"
6911;44.481998530656696, 11.37854017011936;"{""coordinates"": [11.37854017011936, 44.481998530656696], ""type"": ""Point""}"
6907;44.48149991317673, 11.378406211183353;"{""coordinates"": [11.378406211183353, 44.48149991317673], ""type"": ""Point""}"
6909;44.48338925183486, 11.37999056939038;"{""coordinates"": [11.37999056939038, 44.48338925183486], ""type"": ""Point""}"
6902;44.48130728772952, 11.380909959786202;"{""coordinates"": [11.380909959786202, 44.48130728772952], ""type"": ""Point""}"
